CO,Vict num,Tot vic,Tot susp,V sex,V race,V age,Crm Stat,VO_1,VO_2,VO_3,VO_4,Inc MO,Inc day,Inc YR,Week day,Death YR,Means of Death,Loc,PE,Spec Circ
33,1.0,1.0,1.0,2.0,H,30,1,2,,,,5,6,2015,4.0,2015.0,2,02,99,999.0
33,1.0,1.0,1.0,2.0,H,32,1,2,,,,12,17,2015,5.0,2015.0,7,02,99,0.0
36,1.0,1.0,1.0,2.0,H,21,1,23,,,,10,3,2015,7.0,2015.0,6,24,62,0.0
36,1.0,1.0,1.0,2.0,A,70,1,2,,,,10,8,2015,5.0,2015.0,2,24,62,0.0
36,1.0,1.0,1.0,2.0,W,45,1,23,,,,6,25,2015,5.0,2015.0,11,02,62,0.0
37,1.0,1.0,1.0,1.0,W,44,1,29,,,,4,25,2015,7.0,2015.0,6,03,62,0.0
37,1.0,1.0,1.0,2.0,H,46,1,2,,,,12,5,2015,7.0,2015.0,1,03,62,0.0
37,1.0,1.0,1.0,2.0,W,73,1,2,,,,10,12,2015,2.0,2015.0,11,02,99,0.0
37,1.0,1.0,1.0,2.0,O,74,1,2,,,,2,22,2015,1.0,2015.0,13,02,26,0.0
37,1.0,1.0,1.0,2.0,O,25,1,23,,,,4,1,2015,4.0,2015.0,2,02,26,0.0
38,1.0,1.0,1.0,2.0,W,51,1,23,,,,10,7,2015,4.0,2015.0,2,03,99,999.0
42,1.0,1.0,1.0,2.0,H,41,1,2,,,,6,5,2015,6.0,2015.0,6,16,62,0.0
19,1.0,1.0,1.0,2.0,H,21,1,23,,,,12,20,2015,1.0,2015.0,4,24,62,0.0
33,1.0,1.0,1.0,2.0,H,23,1,23,,,,12,31,2015,5.0,2015.0,6,15,99,999.0
1,1.0,1.0,1.0,2.0,H,22,1,23,,,,2,14,2016,1.0,2016.0,2,16,62,140.0
1,1.0,1.0,1.0,1.0,W,63,1,1,,,,8,5,2016,6.0,2016.0,1,02,62,140.0
1,2.0,2.0,1.0,2.0,B,48,1,23,,,,7,2,2016,7.0,2016.0,2,02,62,0.0
1,1.0,1.0,2.0,2.0,H,21,1,29,40.0,,,11,3,2016,5.0,2016.0,6,18,62,0.0
1,1.0,1.0,1.0,2.0,H,19,1,23,,,,11,13,2016,1.0,2016.0,2,01,62,0.0
7,1.0,1.0,1.0,2.0,O,28,1,23,,,,4,13,2016,4.0,2016.0,2,16,99,140.0
7,1.0,1.0,1.0,1.0,H,27,1,22,,,,5,2,2016,2.0,2016.0,2,05,62,140.0
7,1.0,1.0,1.0,2.0,B,25,1,23,,,,5,16,2016,2.0,2016.0,8,16,62,140.0
